age,citi,day1,day10,day11,day12,day13,day14,day2,day3,day4,day5,day6,day7,day8,day9,duration,maxgroupsize,name,operatedin,physicalrating,price,rating,tourid,touroperator,url
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 01: Arrival at Kathmandu (1,350m) and transfer to hotel.",,,,,," Day 02: Drive from Kathmandu to Pokhara (9,00 m) Duration: 6-7 hours.",Day 03: Drive from Pokhara to Nayapul & trek to Ulleri (1900m) Duration: 5-6 hours.,"Day 04: Trek from Ulleri to Ghorepani (2,860m) Duration: 5-6 hours.","Day 05: Hike up to Poon Hill (3210m) and trek to Tadapani (2,300m) Duration: 6-7 hours.","Day 06: Trek from Tadapani to Ghandruk Village (1,940m) Duration: 3-4 hours.","Day 07: Trek to Nayapul and Drive to Pokhara (8,50m) Duration: 6-7 hours.","Day 08: Drive from Pokhara to Kathmandu(1,350m) Duration: 6-7 hours.",Day 09: Transfer to International Airport for your final Departure.,"
            9 days                        
  ","
                        10                    ","
            Ghorepani Poon Hill Budget Trek        ","
                    174951
                ","
                        7 to 90
                    ","US
                        $599",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/150932
"
                    English
                ",",,,,,,,,",Day 01: Arrive at Tribhuwan International Airport (KTM) Kathmandu,"Day 10: Jhinu Danda to Kathmandu (1370m/4495ft) Duration: 2 hrs walk, 2 hrs drive and 25-min flight",Day 11: Tour Ends/Departure,,,,Day 02: Fly to Pokhara (910m/2985ft) 25-min then trek to Tikhe Dhunga (1495m/49035ft) Duration: 5 hrs,Day 03: Trek to Ghorepani (2850m/9350ft) Duration: 7 hrs,"Day 04: Hiking -Poonhill (3210m/10528ft), trek to Tadapani (2500m/8200ft) Duration: 6 hrs",Day 05: Tadapani to Sinuwa (2310m/7575ft) Duration: 6 hrs,Day 06: Sinuwa to Deurali (3150m/10330ft) Duration: 6 hrs,Day 07: Deurali to Annapurna Base Camp (4210m/13810ft) Duration: 5 hrs,Day 08: ABC to Bamboo (2310m/7575ft) Duration: 7 hrs,Day 09: Bamboo to Jhinu Danda (hot spring) (1780m/5840ft) Duration: 6 hrs,,"
                        10                    ","
            Annapurna Base Camp Trek (2 destinations)        ","
                    185032
                ","
                        10 to 68
                    ","US
                        $1,090","
      4.8
    (
      (136)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/150932
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Everest Base Camp,","Day 01 Fly to Lukla and trek to Phakding (2,640m) Duration: 4-5 hours.",Day 10: Fly back to Kathmandu from Lukla and & transfer to hotel.,,,,,"Day 02: Trek from Phakding to Namche Bazaar (3,440m) Duration: 5-6 hours.","Day 03: Trek from Namche Bazaar to Tengboche (3,860m) Duration: 5-6 hours.","Day 04: Trek from Tengboche to Dingboche (4,410m) Duration: 4-5 hours.","Day 05: Trek from Dingboche to Lobuche (4,940m) Duration: 5-6 hours.","Day 06: Trek From Lobuche to Gorak Shep (5,180m) and  hike to Everest Base Camp (5,364m) Duration: 7-8 hours.","Day 07: Early in the morning hike up to Kala Pathar (5,550m)and trek to Pheriche (4,280m) Duration: 7-8 hours.","Day 08: Trek from Pheriche to Namche Bazaar (3,441m) Duration: 6-7 hours.","Day 09: Trek from Namche to Lukla (2,804m) Duration: 6-7 hours.","
            10 days                        
  ","
                        10                    ","
            10 Days Everest Base Camp Trekking        ","
                    187741
                ","
                        14 to 90
                    ","US
                        $1,350",(,,"
                    Uma Holidays Travels And Tours Pvt. Ltd.
                ",https://www.tourradar.com/150932
"
                    English
                ",",,,,,,,,",Day 1: Arrive in Kathmandu,Day 10: Trek to Kyangin Gompa (3849m),Day 11: Kyangin Gompa. Optional day hike to Tsergo Ri (4984m),Day 12: Kyangin Gompa. Optional day hike to Langshisa Kharka (4060m),Day 13: Trek to Lama Hotel (2500m),Day 14: Trek to Thulu Syabru (2260m),Day 2: Kathmandu - walking tour and free time,Day 3: Kathmandu (1400m) to Syabrubesi (1462m),Day 4: Trek to Gatlang (2238m),Day 5: Trek to Tatopani (2607m),Day 6: Trek to Nagthali Hill (3210m) and Thuman (2338m),Day 7: Trek to Briddim (2239m),Day 8: Trek to Sherpagaon (2490m),Day 9: Trek to Ghora Tabela (3035m),,"
                        20                    ","
            Langtang and Tamang Heritage trek        ","
                    208889
                ","
                        5 to 99
                    ","US
                        $1,855","
      4.6
    (
      (835)
    ",,"
                    Encounters Travel
                ",https://www.tourradar.com/150932
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Pheriche,","Day 01: Transfer to Kathmandu domestic airport for flight to Lukla 2,820 m and trek to Phakdingma 2,657 m – 04 hrs.",Day 10: Fly back to Kathmandu and transfer to hotel with free afternoon at leisure.,,,,,"Day 02: Namche Bazaar 3,440 m – 06 hrs.","Day 03: Thyangboche 3,867 m – 05 hrs.","Day 04:  Dingboche 4,365 m – 05 hrs.","Day 05:  Lobuche 4,890 m – 05 hrs.","Day 06:  Everest Base Camp 5,365 m walk back to Gorakshep 5,180 m – 06 hrs","Day 07: Morning climb on top Kalapathar 5,545 m walk to Pangboche 3,900 m- 06 hrs.",Day 08: Trek to Namche Bazaar – 06 hrs.,Day 09: Back to Lukla – 06 hrs.,"
            10 days                        
  ","
                        30                    ","
            Short Everest Base Camp Trekking 10 Days        ","
                    155694
                ","
                        10 to 75
                    ","US
                        $1,081",(,,"
                    Eco Holidays Nepal
                ",https://www.tourradar.com/155525
,",,,,,,,,",Day 01: Kathmandu to Pokhara,Day 10: Lo-Manthang to Ghami via upper route,Day 11: Ghami to Chele,Day 12: Chele to Jomsom,Day 13: Jomsom to Pokhara flight,Day 14: Pokhara to Kathmandu,Day 02: Pokhara to Kagbeni via Jomsom flight,Day 03: Kagbeni to Chele,Day 04: Chele to Syangboche,Day 05: Syangeboche to Gheling (3770 m),Day 06: Gheling to Ghami (3520 m),Day 07: Ghami to Charang (3560 m),Day 08: Charang to Lo-Manthag (3809m),Day 09: Lo-Manthang rest,"
            14 days                            
  ",,"
            Upper Mustang Trek 14 Days for 2021/22        ",,,"US
                        $1,970",(,,,https://www.tourradar.com/155525
,"Kathmandu,Pokhara,Annapurna,,,,,,","Day 01: Fly to Pokhara 820m (30 mins by air) drive to Syali Bazaar 1,100 m walk to Ghandruk village 1,930 m – 06 hrs.",,,,,,"Day 02: Sinwa Danda 2,355 m via Chomrong 2,170 m – 06 hrs.","Day 03:  Deurali 3,235 m – 06 hrs.","Day 04: Trek to Annapurna Base Camp (ABC) at 4,130 m – 06 hrs.","Day 05: Annapurna Base Camp to Bamboo 2,345 m – 06 hrs","Day 06: Trek beyond Jhinu village 1,780 m and drive to Pokhara – 07 hrs.",Day 07: Drive or fly back to Kathmandu and transfer to hotel.,,,"
            7 days                        
  ",,"
            Short Annapurna Base Camp Trekking- 7 Days        ",,,"US
                        $590",(,,,https://www.tourradar.com/155525
"
                    English
                ",",,,,,,,,",Day 01: Arrival in Kathmandu & transfer to hotel,"Day 10:  Trek to Bamboo, 1 hour morning & evening yoga session","Day 11:  Trek to Hotspring-Jhinu Danda (1710m), 1 hour morning & evening yoga session","Day 12:  Trek to Pokhara, 1 hour morning & evening yoga session","Day 13:  Drive to Kathmandu (Trek ends), 1 hour morning yoga session",Day 14: Farewell !!,Day 02: Kathmandu sightseeing & 1 hour evening yoga session,"Day 03:  Drive to Pokhara (840 m), 1 hour morning & evening yoga session","Day 04:  Trek to Ulleri (2060 m), 1 hour morning & evening yoga session","Day 05:  Trek to Ghorepani (2850 m), 1 hour morning & evening yoga session","Day 06:  Hike to Poon hill (3210 m) & Trek to TadaPani (2610 m), 1 hour morning & evening yoga session","Day 07:  Trek to Sinuwa (2360 m), 1 hour morning & evening yoga session","Day 08:  Trek to Daurali (3200 m), 1 hour morning & evening yoga session","Day 09:  Trek to Annapurna Base camp (4140 m), 1 hour morning & evening yoga session",,"
                        10                    ","
            Annapurna Base Camp Yoga Trek        ","
                    125106
                ","
                        10 to 70
                    ","US
                        $1,599","
      4.8
    (
      (21)
    ",,"
                    Himalayan Recreation Treks & Expedition Pvt.ltd
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Pheriche,Lukla,",Day 01: Arrival at Kathmandu & transfer to Hotel.,"Day 10: Hike up to Kalapatthar (5,550 m) & trek to Pheriche (4,371m) Duration: 7-9 hours.","Day 11: Trek from Pheriche to Namche Bazar (3,440m) Duration: 6-7 hours.","Day 12: Trek from Namche to Lukla (2,860m) Duration: 7-8 hours.",Day 13: Fly back to Kathmandu Duration: 35 minutes.,Day 14: Final Departure day.,"Day 02: Fly to Lukla and trek to Phakding (2,640m) Duration: 5-6 hours.","Day 03: Trek from Phakding to Namche Bazar (3,440m) Duration: 5-6 hours.",Day 04: Acclimatization day at Namche Bazaar.,"Day 05: Trek from Namche to Tengboche 3,800m  Duration: 6-7 hours.","Day 06: Trek from Tengboche to Dingboche (4,410m) Duration: 4-5 hours.",Day 07: Acclimatization day at Dingboche.,"Day 08: Trek from Dingboche to Lobuche (4,900m) Duration: 5-6 hours.","Day 09: Trek to Gorak Shep (5,180m) & Visit Everest Base Camp ( 5,364m) Duration: 8-9 hours.","
            14 days                        
  ","
                        10                    ","
            Everest Base Camp Trek        ","
                    152916
                ","
                        10 to 90
                    ","US
                        $1,185",(,,"
                    Uma Holidays Travels And Tours Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Pokhara,Annapurna,,,,,,",Day 1: Arrive Kathmandu Airport and transfer to hotel (No meals):,Day 10: Transfer to international airport for your final flight departure (B):,,,,,Day 2: Full day of sightseeing of Kathmandu valley (B):,Day 3: Drive from Kathmandu to Pokhara - 6 Hours (B):,"Day 4: Drive from Pokhara - Nayapul (1050m.) and trek to Tikhedunga( 1577m)- 4 Hours (B, L, D):","Day 5: Trek to Ghorepani( 2675m)- 6 Hours (B, L, D):","Day 6: Hike to Poon Hill (3180m.) and trek to Tadapani (2675m.)- 6 hours (B, L, D):","Day 7: Trek from Tadapani (2675m.) to Ghandruk (1950m.)- 3 Hours (B, L, D):","Day 8: Trek from Ghandruk to Nayapul (Pokhara) & Drive to Pokhara- 4 Hours (B, L):",Day 9: Drive from Pokhara to Kathmandu - 6 Hours (B):,"
            10 days                        
  ","
                        20                    ","
            Ghorepani Poon Hill Trek        ","
                    103156
                ","
                        10 to 75
                    ","US
                        $700",(,,"
                    Outfitter Nepal Treks and Expeditions
                ",https://www.tourradar.com/155525
"
                    English
                ",",,,,,,,,","Day 01: Arrival in Kathmandu (1,300m/4,264ft) & transfer to hotel.",Day 10: International departure homeward bound.,,,,,"Day 02: Drive from Kathmandu to Pokhara (8,50m) Duration:  6-7 hours.",Day 03: Drive to Phedi & trek to Dhampus (1600m) Duration: 4-5 hours.,Day 04: Trek from Dhampus to Forest Camp (2480m) Duration: 6-7 hours.,Day 05: Forest Camp to Low camp (3150m) Duration: 4-5 hours.,Day 06: Low Camp to High Camp (4100m) Duration: 3-4 hours.,"Day 07:  Hike to Mardi Himal base Camp (4,500m) & trek Low camp (3,150m) Duration: 7-8 hours.","Day 08: Trek to Siding Village (1,280m) & drive to Pokhara (8,50m) Duration: 6-7 hours.","Day 09: Drive back to Kathmandu (1,350m) Duration: 6-7 hours.","
            10 days                        
  ","
                        10                    ","
            Fishtail Valley View, Mardi Himal Trek        ","
                    154406
                ","
                        10 to 90
                    ","US
                        $599",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 01: Arrival in Kathmandu and transfer to hotel (1300m),,,,,,"Day 02: Drive to Pokhara (8,50m) Duration: 6-7 hours.",Day 03: Drive to Nayapul & trek to Tikhedhunga (1480m) Duration: ,Day 04: Tikhedhunga to Ghorepani (2750m) Duration: 6-7 hours.,Day 05: Hike up to  Poonhill viewpoint (3210m) & trek to Tadapani (2710m) Duration:  5-6 hours.,"Day 06: Tadapani to Ghandruk (1,950m) Duration:  4-5 hours.","Day 07: Trek from Ghandruk to Nayapul & drive to Pokhara (8,50m) Duration: 6-7 hours.","Day 08: Drive From Pokhara  to Kathmandu (1,350m) Duration: 6-7 hours.",Day 09: Transfer to the  International Airport for your final Departure.,"
            9 days                        
  ","
                        10                    ","
            Wonderful Annapurna View Trek        ","
                    155525
                ","
                        7 to 90
                    ","US
                        $520",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 01: Arrival in Kathmandu (1,350m) transfer to hotel.",,,,,,"Day 02: Drive from Kathmandu to Pokhara (9,00 m) Duration: 6-7 hours.","Day 03: Drive from Pokhara to Nayapul & trek to Ulleri (1,960m) Duration: 5-6 hours,","Day 04: Trek from Ulleri to Ghorepani (2,860m) Duration: 5-6 hours.",Day 05: Hike up to to Poon Hill viewpoint (3210m) & to Tadapani (2710m) Duration: 6-7 hours.,"Day 06: Trek from Tadapani to Ghandruk (2,012m) Duration: 3-4 hours.",Day 07: Trek from Ghandruk to Nayapul & drive to Pokhara (900m) Duration: 6-7 hours.,"Day 08: Drive back to Kathmandu ( 1,350m) Duration: 6-7 hours.",Day 09: Transfer to International Airport for your Final Departure.,"
            9 days                        
  ","
                        10                    ","
            Ghorepani Poon Hill Trek        ","
                    152803
                ","
                        10 to 90
                    ","US
                        $620",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 01: Drive from Kathmandu to Pokhara (1,350m) Duration: 6-7 hours.",,,,,,"Day 02: Drive to Nayapul (1,010 m) and Trek to Tikhedunga (1,570 m) Duration: 5-6 hours.","Day 03: Trek from to Ghorepani (2,860m) Duration: 5-6 hours.","Day 04: Hike up to Poonhill (3,210m)  to Tadapani (2,610m) Duration: 6-7 hours.","Day 05: Trek from Tadapani to Ghandruk (1,940m) Duration: 3-4 hours.","Day 06: Trek down to Nayapul and drive to Pokhara (8,50m) Duration: 5-6 hours.","Day 07: Drive from Pokhara to Kathmandu (1,350m) Duration: 6-7 hours.",,,"
            7 days                        
  ","
                        10                    ","
            7 Days Ghorepani Poon Hill Trek        ","
                    166478
                ","
                        7 to 90
                    ","US
                        $599",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Pheriche,","Day 01: Fly from Kathmandu to Lukla (2,642m/8,668ft) & trek to Phakding (2,562m/8,700ft) Duration: 4-5 hours.","Day 10: Trek to Lukla (2,642m/8,668ft) Duration: 7-8 hours.","Day 11: Fly back to Kathmandu (1,300m/4,264ft)Duration: 35 minutes flight.",,,,"Day 02: Trek to Namche Bazaar (3,440m/11,280ft) Duration: 5-6 hours.","Day 03: Trek to Tengboche (3,870m/12,694ft) Duration: 5-6 hours.","Day 04: Trek to Dingboche (4,360m/14,300ft) Duration: 4-5 hours.",Day 05: Exploration & Acclimatization day at Dingboche.,"Day 06: Trek to  Lobuche (4,940m/16,207ft) Duration: 5-6 hours.","Day 07: Trek to Gorak Shep (5,160m/17,000ft) ) & visit Everest Base Camp (5,364m/17,594ft) Duration: 7-8 hours.","Day 08: Hike up to Kala Patthar (5,545m/18,192ft) & trek to Pheriche (4,280m/14,070ft) Duration: 6-7 hours.","Day 9: Trek to  Namche Bazaar (3,440m/11,280ft) Duration: 6-7 hours.","
            11 days                        
  ","
                        10                    ","
            Everest Base Camp Trek 11 Days        ","
                    187803
                ","
                        10 to 90
                    ","US
                        $1,245",(,,"
                    Uma Holidays Travels And Tours Pvt. Ltd.
                ",https://www.tourradar.com/155525
,"Kathmandu,Lukla,Namche Bazar,Dingboche,Everest Base Camp,Phakding,Lobuche,Gorak Shep,",Day 1: Arrival in Kathmandu (1350m/4430ft ),Day 10: Cross the Kongma La (5540m/18175ft) and trek to Lobuche (4910m/16109ft) about 07 hrs walk,Day 11: Trek to Gorakshep(5180m/16995ft) 3-4 hrs walk and day hike Everest Base Camp (5364m/17600ft) 2-3 hrs walk,Day 12: Trek to KalaPathar (5545m/18193ft) 2-3 hrs walk and Dzonglha (4830m/15847ft)4-5 hrs walk,Day 13: Trek to Cho La (5420m/17782ft) about 04 hrs walk and to Thangnag (4700m//15420ft) about 03 hrs walk,Day 14: Trek to Gokyo (4750m/15584ft) 4-5 hrs walk,Day 2: Full day in Kathmandu,Day 3:  Fly to Lukla (2828m/9279ft) 35min flight and Trek to Phakdhingn (2780m/9121ft)about 04 hrs walk,Day 4: Trek to Namche Bazaar (3440m/11287ft) about 05 hrs walk.,Day 05: Rest day/Acclimatization in Namche Bazaar,Day 6: Trek to Tengbche (3850m/12632ft) 04-05 hrs walk,Day 7: Trek to Dingboche (4350m/14272ft) 4-5 hrs walk,Day 8: Rest/Acclimatization in Dingboche,Day 9: Trek to Chhukung (4730m/15518ft) about 04 hrs walk.,,,"
            Everest High Pass Trekking        ",,,"US
                        $1,499","
      5.0
    (
      (1)
    ",,,https://www.tourradar.com/155525
"
                    English
                ",",,,,,,,,","Day 01: Arrival in Kathmandu (1,300m/4,264ft) & transfer to hotel.",,,,,,"Day 02: Drive to Pokhara  (8,50m) Duration: 6-7 hours.",Day 03: Drive from Pokhara  to Nayapul and trek to Tikhedhunga (1480m) Duration: 5-6 hours.,Day 04: Tikhedhunga to Ghorepani (2750m) Duration: 6-7 hours.,Day 05: Hike up to Poonhill viewpoint (3210m) & trek to Tadapani (2710m) Duration: 6-7 hours.,"Day 06: Tadapani trek to Ghandruk (1,950m) Duration: 3-4 hours.","Day 07: Ghandruk trek to Nayapul and drive to Pokhara (8,50m) Duration: 5-6 hours.","Day 08: Drive back to Kathmandu (1,350m) Duration: 6-7 hours.",Day 09: Transfer to the International Airport for your final departure.,"
            9 days                        
  ","
                        10                    ","
            Ghorepani Poon Hill Sunrise Trekking        ","
                    155518
                ","
                        7 to 90
                    ","US
                        $620",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Pokhara,Annapurna,,,,,,","Day 01: Drive from Kathmandu to Pokhara (8,50m) Duration: 6-7 hours.",,,,,,"Day 02: Drive to Nayapul (1,010 m) and trek to Tikhedunga (1,570 m) Duration: 4-5 hours.",Day 03: Trek from Tikhedhunga to Ghorepani (2860 m) Duration: 6-7 hours.,"Day 04: Hike up to Poon Hill (3,210 m) and Trek to Tadapani (2,610 m) Duration: 7-8 hours.","Day 05: Trek from Tadapani to Ghandruk (1,940m) Duration: 3-4 hours.","Day 06: Trek from Ghandruk to Nayapul and drive to Pokhara (8,50m) Duration: 6-7 hours.","Day 07: Drive from Pokhara to Kathmandu (1,350m) Duration: 6-7 hours.",,,"
            7 days                        
  ","
                        10                    ","
            Short Ghorepani Poon hill Trek        ","
                    176684
                ","
                        7 to 90
                    ","US
                        $510",(,,"
                    Uma Holidays Travels And Tours Pvt. Ltd.
                ",https://www.tourradar.com/155525
,"Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 1: Drive to Pokhara by tourist bus, overnight at hotel",,,,,,"Day 2: Drive to Nayapul and start trek to Ulleri, overnight at hotel","Day 3: Trek to Ghorepani, overnight at guesthouse ","Day 4: Climb to Poon Hill early in the morning for sunrise and continue trek to Ghandruk, overnight at guesthouse ","Day 5: Trek to Jhinu Danda (Hot Spring), overnight at guesthouse ","Day 6: Trek to Siwai and drive to Pokhara, overnight at hotel",Day 7: Drive to Kathmandu,,,"
            7 days                        
  ",,"
            Poon Hill Sunrise Trek        ",,,"US
                        $585",(,,,https://www.tourradar.com/185603
"
                    English
                ",",,,,,,,,",Day 01: Arrival at Kathmandu transfer to hotel.,Day 10: Transfer to the International Airport for your final departure.,,,,,Day 02: Drive to Syabru (1400m ) Duration: 6-7 hours.,"Day 03: Trek to  Lama Hotel (2,470m) Duration: 5-6 hours.","Day 04: Trek to Langtang Village (3,500m) Duration: 5-6 hours.","Day 05: Trek to Kyanjin Gompa (3,800m) Duration: 4-5 hours.","Day 06: Rest day at  Kyanjin Gompa Hike to kyanjin Ri (4,773m) Duration: 3-4 hours.","Day 07: Trek back to Lama Hotel (2,470m) Duration: 5-6 hours.","Day 08: Trek to  Syabru Besi (1,470m) Duration: 5-6 hours.","Day 09: Drive back to Kathmandu (1,350m) Duration: 6-7 hours.","
            10 days                        
  ","
                        10                    ","
            Langtang Valley Trek        ","
                    142620
                ","
                        7 to 90
                    ","US
                        $650",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/155525
"
                    English
                ","Kathmandu,Lukla,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Everest Base Camp,,","Day 01: Fly from Kathmandu to Lukla (2,804m) & trek to Phakding (2,640m) Duration: 5-6 hours.","Day 10: Fly back to Kathmandu (1,350m) Duration: 30 minutes flight.",,,,,"Day 02: Trek from Phakding to Namche Bazaar (3,440m) Duration: 5-6 hours.","Day 03: Trek from Namche to Tengboche (3,860m) Duration: 5-6 hours.","Day 04: Trek from Tengboche to Dingboche (4,410m) Duration: 4-5 hours.","Day 05: Trek from Dingboche to Lobuche (4,940m) Duration: 5-6 hours.","Day 06: Trek from Lobuche to Everest Base Camp (5,364m) via Gorakshep (5,180m) Duration: 6-7 hours.","Day 07: Hike up to Kala Patthar (5,550m) & trek to Pheriche (4,371m) Duration: 7-8 hours.","Day 08: Trek from Pheriche to Namche (3,440m) Duration: 5-6 hours.","Day 09: Trek from Namche to Lukla (2,804m) Duration: 6-7 hours.","
            10 days                        
  ","
                        10                    ","
            10 Days Everest Base camp Trek        ","
                    185603
                ","
                        14 to 80
                    ","US
                        $1,300",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/185603
,"Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Lukla,,",Day 1: Arrival Kathmandu Airport (1360m),"Day 10: Gorak Shep - Kala Pathar [5545m] - Pangboche [(3985m/ 13,070 ft):]: 8 - 9 hrs","Day 11: Pangboche to Namche Bazaar (3,440m/11,280 ft): 20km, 6 - 7 hours","Day 12: Namche Bazaar to Lukla (2,860m/9,186ft): 19km, 6 - 7 hours",Day 13: We fly out to Kathmandu,Day 14: Departure Day for home sweet home,"Day 2: Fly to Lukla, trek to Phakding (2,651m/8,700ft): 8km, 3 - 4 hours trek","Day 3: Phakding to Namche Bazaar (3,438m/11,280 ft): 11km, 5 - 6 hours","Day 4: Acclimatization Day - Namche Bazaar: (3,440m/11,284ft)","Day 5: Namche Bazaar to Tengboche (3,870m/12,694ft): 10km, 5 - 6 hours","Day 6: Tengboche to Dingboche (4,350 m/14,300 ft): 9km, 5 - 6 hours",Day 7: Dingboche: Acclimatization,"Day 8: Dingboche to Lobuche (4940 m/16,207 ft): 7km, 5-6 hours ","Day 9: Lobuche to Gorak Shep (5,170 m/16,961ft), visit Everest Base Camp (5,364 m/17,594 ft): 13km, 6-7 hours","
            14 days                        
  ",,"
            14 Day Everest Base Camp Trek        ",,,"US
                        $1,240",(,,,https://www.tourradar.com/185603
"
                    English
                ","Kathmandu,Pokhara,Annapurna,,,,,,",Day 01: Drive from Kathmandu to Pokhara (850m) Duration: 6-7 hours.,,,,,,"Day 02: Drive to Nayapul and trek to Ghandruk (1,950m) Duration: 5-6 hours.","Day 03: Trek to Chomrong (2,600m) Duration: 5-6 hours.","Day 04:  Trek from Chomrong to Himalaya (3,200m) Duration: 5-6 hours.","Day 05: Trek to Annapurna Base Camp (4,130m) Duratiion: 5-6 hours.","Day 06: Trek from ABC to Bamboo (2,575m) Duration: 6-7 hours."," Day 07: Trek to Jhinu Danda (1,750m) Duration: 6-7 hours."," Day 08: Trek to Nayapul and  Drive to Pokhara (8,50m) Duration: 5-6 hours.","Day 09: Drive back to Kathmandu (1,350m) Duration: 6-7 hours.","
            9 days                        
  ","
                        10                    ","
            Annapurna Base Camp Trek 9 Days        ","
                    176861
                ","
                        8 to 90
                    ","US
                        $560",(,,"
                    Uma Holidays Travels And Tours Pvt. Ltd.
                ",https://www.tourradar.com/185603
"
                    English
                ","Kathmandu,Pokhara,,,,,,,","Day 01: Arrival in Kathmandu (1,350m) & transfer to hotel.","Day 10: Drive from Pokhara to Kathmandu (1,350m) Duation: 6-7 hours.",Day 11: Transfer to the International Airport for your final Departure.,,,,"Day 02: Drive from Kathmandu to Pokhara (8,50m) Duration:  6-7 hours.","Day 03:  Drive to Kande & trek to Pothana (1,890m) Duration: 4-5 hours.","Day 04: Trek from Pothana to Forest Camp (2,480m) Duration: 5-6 hours.","Day 05: Trek from Forest Camp to Low Camp (3,150m) Duration: 4-5 hours.","Day 06: Trek from Low Camp to Mardi Himal High Camp (3,580m) Duration: 5-6 hours.","Day 07: Hike up to Mardi Himal Base Camp (4,500m) Duration: 5-6 hours.","Day 08: Trek from Mardi Himal High camp to Sidding (1,280m) Duration: 5-6 hours.","Day 09: Trek to Lwang and drive to Pokhara (8,50m) Duration: 5-6 hours.","
            11 days                        
  ","
                        10                    ","
            Short Mardi Himal Trek        ","
                    175009
                ","
                        10 to 90
                    ","US
                        $599",(,,"
                    Sherpa Expedition & Trekking Pvt. Ltd.
                ",https://www.tourradar.com/185603
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Kathmandu,Day 10: Kathmandu,,,,,Day 2: Kathmandu,Day 3: Pokhara,Day 4: Tikhedhungga,Day 5: Ghorepani,Day 6: Tadapani,Day 7: Ghandruk,Day 8: Pokhara,Day 9: Kathmandu,"
            10 days                        
  ","
                        10                    ","
            Ghorepani Poon Hill Trek        ","
                    113726
                ","
                        10 to 90
                    ","US
                        $595",(,,"
                    Adventure Himalayan Travels
                ",https://www.tourradar.com/185603
,"Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Arrival In Tribhuban International Airport Kathmandu,,,,,,Day 2: Kathmandu To Pokhara drive by tourist bus,"Day 03: - Pokhara Trek to Tikhedhunga (1540m): walking distance 3-4 hours, 540 meters ascent - 9.6 km","Day 4: Pokhara Trek to Tikhedhunga (1540m): walking distance 3-4 hours, 540 meters ascent - 9.6 km","Day 05: - Tikhedunga trek to Ghorepani (2775m): walking distance 4-6 hours, 1360 meters ascent - 9.4 km","Day 06: - Ghorepani to Poon Hill and trek to Tadapani (2540m): walking distance to Tadapani 5-6 hours, 550 meters descent 710 meters ascent - 11.7 km",Day 07: - Tadapani Trek to Ghandhruk (1940m): Trekking to Nayapul and drove to Pokahra,"Day 08: - Pokhara to Kathmandu, Take a 25 minutes flight or 6/7 hour Drive.",Day 9: Departure To Your Country,"
            9 days                        
  ",,"
            Ghorepani Poon Hill Trek        ",,,"US
                        $1,027",(,,,https://www.tourradar.com/185603
"
                    English
                ","Kathmandu,Pokhara,Annapurna,,,,,,",Day 1: Kathmandu,,,,,,Day 2: Kathmandu,Day 3: Kathmandu to Pokhara and Trekking to Tikhedhunga ,Day 4: Tikhedhunga to Ghorepani ,Day 5: Ghorepani to Poonhill and Tatopani ,Day 6: Tatopani to Ghandruk and Pokhara ,Day 7: Pokhara to Kathmandu by Flight ,Day 8:  Home Sweet Home ,,"
            8 days                        
  ","
                        60                    ","
            Poonhill Ghorepani Trek & Kathmandu City Tour-8 Days         ","
                    112154
                ","
                        5 to 80
                    ","US
                        $899",(,,"
                    Alpine Club of Himalaya
                ",https://www.tourradar.com/185603
